day_year,no2,co,pm2_5,o3
1,75.26266666666666,858.75,26.685000000000002,61.0
2,71.00133333333332,1030.5,19.875000000000004,83.0
3,72.568,801.5,14.28125,61.99999999999999
4,64.86,629.75,11.047368421052632,49.0
5,70.93866666666666,1030.5,14.9125,45.0
6,94.87733333333331,1030.5,17.287499999999998,40.0
7,58.78133333333333,973.25,18.736842105263158,37.00000000000001
8,57.214666666666666,1316.75,21.306250000000002,44.00000000000001
9,65.67466666666667,1431.25,18.3,49.0
10,65.67466666666667,1087.75,11.76842105263158,77.0
11,74.38533333333334,744.25,10.9625,42.0
12,72.944,515.25,5.581249999999999,55.99999999999999
13,73.57066666666667,629.75,4.231578947368421,38.0
14,75.952,744.25,8.166666666666668,26.000000000000004
15,64.04533333333332,744.25,10.856250000000001,70.0
16,42.111999999999995,515.25,2.988888888888889,74.0
17,47.846,343.5,3.9599999999999995,69.0
18,59.126,343.5,4.853333333333334,50.0
19,63.262,629.75,5.377777777777778,18.000000000000004
20,70.75066666666667,572.5,4.91875,60.0
21,77.64399999999999,629.75,5.02,55.0
22,67.492,572.5,3.7578947368421054,72.0
23,53.58,572.5,5.38125,64.0
24,48.598,343.5,5.281249999999999,69.0
25,66.30133333333333,858.75,7.484999999999999,60.0
26,57.716,744.25,5.7,53.0
27,56.71333333333333,744.25,4.71875,57.00000000000001
28,59.972,515.25,3.9473684210526323,77.0
29,80.96533333333333,515.25,4.0,76.0
30,38.66533333333333,400.75,2.3533333333333335,75.0
31,47.68933333333334,515.25,3.452631578947369,70.0
32,60.285333333333334,572.5,4.8374999999999995,55.0
33,58.405333333333324,687.0,6.7875,60.99999999999999
34,52.953333333333326,515.25,3.6277777777777778,74.0
35,68.24399999999999,572.5,3.626666666666667,71.0
36,66.80266666666667,801.5,5.805882352941176,86.0
37,52.922,343.5,5.725,79.0
38,55.366,458.0,9.70625,88.00000000000001
39,52.827999999999996,744.25,10.71764705882353,84.0
40,68.36933333333333,1145.0,12.527777777777779,102.0
41,65.17333333333333,744.25,10.264705882352942,94.0
42,69.56,973.25,8.117647058823529,86.0
43,60.72399999999999,572.5,3.325,76.0
44,39.98133333333333,458.0,3.0294117647058822,68.0
45,32.398666666666664,458.0,2.1411764705882352,65.0
46,39.668,458.0,1.7099999999999997,68.0
47,63.168,629.75,3.3235294117647065,71.0
48,67.67999999999999,801.5,5.358823529411765,76.0
49,60.03466666666666,515.25,2.4578947368421056,79.0
50,46.623999999999995,458.0,2.2571428571428576,79.0
51,50.666,343.5,4.2124999999999995,78.0
52,52.263999999999996,458.0,6.894444444444444,72.0
53,62.51,629.75,5.158823529411763,69.0
54,58.843999999999994,801.5,6.529411764705883,89.0
55,90.67866666666667,973.25,9.06,65.0
56,75.13733333333333,916.0,11.141176470588235,62.0
57,69.748,973.25,11.24705882352941,56.99999999999999
58,59.784,629.75,6.3315789473684205,76.0
59,26.978,229.0,3.1437500000000003,84.0
60,66.64599999999999,687.0,3.45625,70.00000000000001
61,58.843999999999994,458.0,3.121052631578947,76.0
62,69.74799999999999,572.5,3.2333333333333334,76.0
63,69.43466666666666,629.75,3.7624999999999997,60.0
64,64.202,744.25,5.663157894736843,60.0
65,51.324,343.5,3.5000000000000004,80.0
66,54.05,229.0,2.5200000000000005,78.0
67,48.128,515.25,3.2277777777777774,74.0
68,49.81999999999999,629.75,3.213333333333333,65.0
69,53.861999999999995,515.25,2.5266666666666664,78.0
70,41.36,400.75,4.023529411764706,81.0
71,81.02799999999998,744.25,6.35625,56.0
72,49.193333333333335,687.0,2.5187500000000003,88.0
73,36.942,343.5,1.9842105263157896,86.0
74,39.574,229.0,2.1066666666666665,82.0
75,53.67399999999999,515.25,3.5533333333333337,84.0
76,51.982,515.25,5.0058823529411764,82.0
77,50.384,400.75,4.723076923076923,79.0
78,64.98533333333333,400.75,4.925,88.0
79,70.12399999999998,687.0,7.942105263157896,68.0
80,53.67399999999999,458.0,10.893333333333333,71.0
81,53.861999999999995,515.25,3.153333333333333,80.0
82,41.077999999999996,515.25,2.6833333333333336,75.0
83,44.086,458.0,2.7400000000000007,77.0
84,39.95,400.75,2.973333333333334,86.0
85,66.17599999999999,572.5,4.7368421052631575,86.0
86,50.572,343.5,6.8133333333333335,96.0
87,24.064,343.5,2.986666666666666,90.0
88,60.254,343.5,5.029411764705882,86.0
89,48.974000000000004,343.5,5.8133333333333335,86.0
90,76.60999999999999,801.5,7.4,64.0
91,97.948,572.5,8.894444444444446,70.00000000000001
92,83.002,801.5,10.025,66.0
