PMAID,the_geom,RESERVED1,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,BALLFIELD_,NAME,SPORT_TYPE,FIELD_SURF,FIELD_LIGH,FIELD_ID,OVERLAPPIN,PARK_NAME,FACILITY_I,FACILITY_N,RESERVED2,RESERVED3,NOTES,LINK_1,LINK_2,LINK_3,AMWOID,SHAPE_AREA,SHAPE_LEN
422,"MULTIPOLYGON (((-122.27259129399673 47.52601927298346, -122.27257752370237 47.52600642939875, -122.27254548267092 47.52600611204517, -122.27254546201019 47.52599088666039, -122.27176661993877 47.52599288660424, -122.27176653385249 47.52591907248638, -122.27177646708512 47.52584556561534, -122.27179633545914 47.52577298860192, -122.27182597064699 47.52570195617837, -122.27186512159835 47.52563306999163, -122.27191345666779 47.52556691350763, -122.27197056642476 47.52550404706956, -122.27203596712256 47.52544500315207, -122.27210910479634 47.52539028185153, -122.27218935995565 47.52534034665064, -122.27227605283169 47.52529562049316, -122.27236844913506 47.52525648220201, -122.27246576627483 47.52522326327102, -122.27256717998655 47.5251962450576, -122.27267183131303 47.52517565639998, -122.27277883387889 47.52516167167922, -122.27288728139688 47.52515440934254, -122.27299625534309 47.525153930900096, -122.27300057278396 47.52569286862945, -122.27300069339235 47.52568733009272, -122.27302109392775 47.52568714892568, -122.27302085799529 47.525708994986005, -122.27304145673172 47.52571906578899, -122.27304223415413 47.525759181479884, -122.2730613341649 47.52575990288884, -122.27305731448998 47.525890125253575, -122.27302351243998 47.52591404205778, -122.27302011466 47.52597648553648, -122.27297175637065 47.52601118492268, -122.2728795108592 47.52601194274166, -122.27284378946743 47.52603398386657, -122.27265239531906 47.52603374430984, -122.27260079738778 47.526033767405906, -122.27260052053602 47.526019509632555, -122.27259129399673 47.52601927298346)))",,77303.32033896,1135.79583142,10/21/2014 12:00:00 AM +0000,801,Rainier Beach,Baseball,Grass,No,1,No,Rainier Beach Playfield,1948,Ballfield 01,,,,,,,ATHLFLD-RBPF,0,0
391,"MULTIPOLYGON (((-122.3019285062559 47.668680124516634, -122.30201750181493 47.66865280601493, -122.30213948033573 47.66865398788793, -122.3021782793196 47.66867494485837, -122.30224304843156 47.668672619962464, -122.30229925237025 47.668714248353155, -122.30229465764587 47.66891932719201, -122.30226749347497 47.66892038995577, -122.30228059018987 47.669229131789194, -122.30222941583357 47.66923966566722, -122.30217381827562 47.66925385434722, -122.30211635085907 47.66926409444867, -122.30205762641589 47.66927027677113, -122.3019982711839 47.669272335386175, -122.30197330495234 47.669263888707455, -122.30194701128569 47.66925754042232, -122.30191977506622 47.66925338345579, -122.3019076934125 47.66925107662164, -122.30189629696103 47.669247518337585, -122.30188586782646 47.669242796687634, -122.3018766641777 47.66923702855438, -122.30179711649278 47.66922770951125, -122.30173033219268 47.669196694283826, -122.30166876827634 47.66916109025912, -122.30161311272302 47.66912129532004, -122.30156398748035 47.669077754182965, -122.30152194151437 47.66903095342759, -122.30148744467516 47.66898141605908, -122.3014608824467 47.668929695663124, -122.30144255164001 47.66887637021928, -122.30144233361871 47.668875535502266, -122.3014385495207 47.66885334262923, -122.30144001355427 47.66883102494399, -122.30144668880104 47.66880914512674, -122.30145840695654 47.66878825481728, -122.30147487257396 47.66876888070707, -122.30149567051369 47.66875151126021, -122.30158252942024 47.66870827704395, -122.30192954313932 47.66869768482082, -122.3019285062559 47.668680124516634)))",,37512.32607242,749.47130536,10/21/2014 12:00:00 AM +0000,801,Ravenna,Baseball,Grass,No,1,No,Ravenna Park,640,Ballfield 01,,,,,,,ATHLFLD-RAVPK,0,0
400,"MULTIPOLYGON (((-122.31492060232524 47.58619557837932, -122.31491964628447 47.58613600949287, -122.31492824815437 47.58607672203233, -122.31494731825413 47.58601587723574, -122.3149764510654 47.58595688511481, -122.31501527167434 47.5859005047789, -122.31506328050925 47.58584746172663, -122.31511985977043 47.58579843851052, -122.31518428138087 47.585754065954404, -122.31525571635567 47.585714915036526, -122.3153332454696 47.5856814895428, -122.3154027033237 47.58565804880891, -122.31547515712693 47.585639211109864, -122.31554994226833 47.585625149241075, -122.3156263727539 47.58561599218992, -122.31570374749842 47.58561182395251, -122.31578493769601 47.58561284380028, -122.31584608026209 47.585617271728054, -122.315846778407 47.58596994083217, -122.31584725740747 47.58621149095933, -122.31579327438257 47.586217189209016, -122.31576319136585 47.58624095933597, -122.31576218223269 47.58624175694406, -122.31571065958114 47.58624242848197, -122.31570699895003 47.586242476193156, -122.31570173396818 47.58624254481458, -122.31545617791144 47.586245745012285, -122.31539297779935 47.58621311319545, -122.31539269569667 47.586203204131934, -122.31492060232524 47.58619557837932)))",,42033.954263,813.44440629,10/21/2014 12:00:00 AM +0000,801,Beacon Hill,Baseball,Grass,No,1,Yes,Beacon Hill Playground,901,Ballfield,,,,,,,ATHLFLD-BHPG,0,0
292,"MULTIPOLYGON (((-122.34217620405622 47.66874351531278, -122.34188289611618 47.66867214855631, -122.34187412588247 47.668689256499526, -122.34148594767588 47.668598455839216, -122.34144702596872 47.66861031698698, -122.34138585418037 47.66852245334098, -122.34141882386415 47.6685118737869, -122.34143365462609 47.66848294665842, -122.34145218989018 47.66844679340956, -122.34176595533644 47.66783477010565, -122.34179876376629 47.66784164227221, -122.34180320432019 47.667842572138795, -122.34182256109939 47.667846626732526, -122.34206962195667 47.66793681508982, -122.3422343253849 47.66802393586923, -122.34233008513745 47.668100430446145, -122.34234083445372 47.66810915819033, -122.34237732521422 47.668138999694854, -122.34244338804746 47.66822422874887, -122.34245336684172 47.66825049736047, -122.34248216597719 47.66831784879385, -122.34251558931255 47.66838421846875, -122.34253242326989 47.66848129666957, -122.34253993567617 47.66857890673997, -122.34253883233211 47.66866451463986, -122.34253055702301 47.668749943104054, -122.34252966784132 47.66875619726728, -122.34251681593746 47.66882729626174, -122.34217620405622 47.66874351531278)))",,63942.73013119,1038.7324559,10/21/2014 12:00:00 AM +0000,801,Lower Woodland,Baseball,Grass,Yes,6,No,Woodland Park,620,Ballfield 06,,,,,,,ATHLFLD-WLPK-CLVR-6,0,0
361,"MULTIPOLYGON (((-122.32555601354544 47.72007550236946, -122.32555513662611 47.72005064793514, -122.32565349843792 47.72003416820398, -122.32572289265268 47.72003288672737, -122.32579229116844 47.720034057346915, -122.32579877859371 47.72003435926744, -122.32580512546274 47.7200353145705, -122.32581118809838 47.72003690163044, -122.32581682925777 47.72003908452024, -122.3258219212391 47.7200418138247, -122.32582634877258 47.720045027759234, -122.32583001162983 47.72004865356839, -122.3258346978402 47.72004912659524, -122.32585464851451 47.72006115313198, -122.32587441875333 47.72007307047646, -122.32592257659861 47.720102099112744, -122.32595139608493 47.72010232730547, -122.32595007569697 47.72030580498455, -122.32594137864764 47.720318847913774, -122.32589479361661 47.72031871012007, -122.32589285134611 47.72061799010047, -122.32589260401636 47.72065604202352, -122.32585460190462 47.720657171855585, -122.32581987750596 47.720657125275316, -122.32580839903014 47.72065688958221, -122.32579097053966 47.72065632244474, -122.32571365931211 47.720650728498846, -122.32563749446868 47.72064017353685, -122.32556317349527 47.720624754216814, -122.32549137699074 47.72060461174251, -122.32542276243399 47.7205799305702, -122.32535795816234 47.72055093671935, -122.32528644780575 47.72051107325068, -122.32522213622283 47.720465969854075, -122.32516586149357 47.72041621431078, -122.32511835695645 47.720362455026454, -122.32508024165254 47.72030539258068, -122.3250520122592 47.7202457705968, -122.32503403661896 47.720184366050816, -122.32502654894758 47.72012197914577, -122.32502645067309 47.720099161119904, -122.3250271643745 47.72008400338062, -122.32555601354544 47.72007550236946)))",,38644.14511536,797.35451969,10/21/2014 12:00:00 AM +0000,801,Northacres,Baseball,Grass,No,1,Yes,Northacres Park,623,Ballfield 01,,,,,,,ATHLFLD-NACPK,0,0
319,"MULTIPOLYGON (((-122.39970208228786 47.64158824542654, -122.39969985748571 47.64158827423534, -122.399699759022 47.64158827558996, -122.3996537982616 47.641588261962056, -122.3995798022558 47.641585771388456, -122.39947541616526 47.64157701797758, -122.39937253852953 47.64156220515238, -122.39927193797874 47.64154144358413, -122.39917436612775 47.64151488838904, -122.39908055196013 47.64148273796888, -122.39899119638096 47.64144523252879, -122.39890696697996 47.64140265228213, -122.39882849304327 47.64135531535685, -122.39875636085183 47.64130357541832, -122.3987130313298 47.641267676181776, -122.39867243834884 47.64122986449257, -122.39862109563438 47.64117445898458, -122.39857642655475 47.641116472523734, -122.39853871332522 47.64105627149278, -122.39850819420833 47.64099423626561, -122.398505164445 47.64098702336169, -122.39850510550677 47.64098687843308, -122.39850225725351 47.64097985825188, -122.39850222122847 47.64097976698562, -122.39849939613184 47.64097254317135, -122.39849934259715 47.64097240086733, -122.39849670821188 47.64096541013228, -122.39849664020764 47.64096522934345, -122.39849401842001 47.6409579937379, -122.39849397034295 47.64095785585693, -122.39849154719138 47.640950895504, -122.39849145527265 47.64095062778049, -122.39848903546316 47.640943380401986, -122.39848899289795 47.64094324874266, -122.39848677571173 47.640936320643426, -122.39848666522794 47.6409359668114, -122.39848444742354 47.64092870855921, -122.39848440903948 47.640928583139775, -122.39848239789976 47.640921689992055, -122.39848227289666 47.64092125179516, -122.39848025443604 47.64091398270589, -122.39848022289435 47.64091386348971, -122.39847841386322 47.640907007146936, -122.39847827974445 47.64090648720969, -122.39847646062745 47.6408992072834, -122.3984764346787 47.64089909698655, -122.39847471361865 47.6408918022179, -122.39847468593335 47.640891678450615, -122.39847306615977 47.64088438768725, -122.39847304447343 47.64088428632808, -122.39847151822366 47.64087696279225, -122.39847149290186 47.640876829096605, -122.39847007116802 47.64086952841382, -122.39847005510168 47.64086943687319, -122.39846872501975 47.640862085451204, -122.39846870081203 47.64086194454327, -122.39846747847541 47.640854634822006, -122.39846741421447 47.64085422457798, -122.39846633286541 47.640847176507876, -122.39846631248705 47.64084703014956, -122.39846528824398 47.64083971230733, -122.39846524331038 47.640839369269266, -122.39846434325332 47.640832241339446, -122.39846432673131 47.64083209043002, -122.39846350058167 47.64082476446683, -122.39846347101071 47.64082448958892, -122.39846275762189 47.64081728352463, -122.39846274367983 47.640817129880894, -122.39846211567748 47.640809797595296, -122.39846210016569 47.64080959179502, -122.39846157480258 47.640802308477305, -122.39846156615575 47.640802153861145, -122.39846113499713 47.64079481617067, -122.39846112819507 47.640794678621944, -122.39846079761868 47.64078732155636, -122.39846079163294 47.64078716690361, -122.39846056000603 47.640779824670965, -122.39846055794912 47.64077975632794, -122.39846042354387 47.64077232729466, -122.39846042293463 47.64077217436723, -122.39846038823218 47.64076482942746, -122.3984639208143 47.64070334565208, -122.39846641908775 47.640684187135484, -122.39903782043808 47.64069165750414, -122.39903732944124 47.640641129760006, -122.39914105332338 47.6406415448244, -122.3992472033814 47.6406424751948, -122.39926649380078 47.640642249458246, -122.39934286276662 47.64064189805607, -122.39935633147243 47.640634133476375, -122.39966756190213 47.64063755109332, -122.39976573236069 47.640638628544245, -122.39976830477819 47.640641684587315, -122.39977145283753 47.64064448375061, -122.39986160703815 47.6407113483675, -122.39985599523506 47.640914312995726, -122.39985565454857 47.64092664431378, -122.39985536951191 47.64093697860332, -122.39985493467817 47.640952680303776, -122.39983918081839 47.640965363134306, -122.3998383667325 47.64099039284293, -122.39983603480205 47.64106211856054, -122.39977330103193 47.64106122383146, -122.3997558884297 47.64158670000623, -122.39972693388289 47.64158773169672, -122.39970208228786 47.64158824542654)))",,92567.33312217,1232.59340262,10/21/2014 12:00:00 AM +0000,801,Magnolia,Baseball,Grass,Yes,1,Yes,West Magnolia Playfield,739,Ballfield 01,,,,,,,ATHLFLD-WMGLPF-S,0,0
450,"MULTIPOLYGON (((-122.36372595452961 47.56237463048905, -122.36378662756624 47.562371804847096, -122.36387375865671 47.56237314144605, -122.3639601733364 47.562380806121695, -122.36404487136319 47.56239471015614, -122.36412687236336 47.56241469261145, -122.36420522717808 47.56244052219226, -122.36427902884932 47.56247189992282, -122.36434742311707 47.56250846260728, -122.36440961830695 47.56254978703339, -122.36446489449392 47.56259539487074, -122.36451261183531 47.562644758207114, -122.36455221797769 47.56269730565872, -122.36458325445086 47.56275242898366, -122.36460536197589 47.562809490122035, -122.3646182846247 47.56286782858142, -122.36462187278394 47.56292676908194, -122.36461835706409 47.56297133482425, -122.36424213220245 47.562969393853294, -122.36421113336664 47.56298979535605, -122.36410299575769 47.56298892599769, -122.36406143020058 47.56300701648955, -122.36393832411834 47.56300651315102, -122.36392597227146 47.56301446202739, -122.36390921981975 47.56301450045536, -122.36389648111513 47.56300634601983, -122.3638483055626 47.56300615797381, -122.36378373321278 47.56300657748358, -122.363783228809 47.563017455228746, -122.36374877941803 47.56301827344351, -122.36372532532336 47.56300844421759, -122.36369486138614 47.562964416905466, -122.36367239428289 47.56289771186382, -122.3636544757615 47.56283037896782, -122.36365597581705 47.56278707964957, -122.36366507678684 47.56274420872685, -122.36372305865353 47.56262689649037, -122.36372595452961 47.56237463048905)))",,42807.93513877,823.30773934,10/21/2014 12:00:00 AM +0000,801,Delridge,Baseball,Synthetic,Yes,2,Yes,Delridge Playfield,1804,Delridge Ballfield 02 (NE),,,,,,,ATHLFLD-DELPF,0,0
464,"MULTIPOLYGON (((-122.36891039543906 47.517572529294604, -122.36940017569492 47.51756658596407, -122.36939954132708 47.51754505861354, -122.36954252214494 47.51754245199299, -122.36954141025676 47.51753842865061, -122.3696248262895 47.51753730042958, -122.3696255598989 47.517562191904894, -122.36974369522268 47.51755924816556, -122.36979330684372 47.51759088142355, -122.36980700934123 47.517617616207765, -122.36980968778272 47.517674785722434, -122.36983182440534 47.51767584649493, -122.36983349179454 47.51773241344872, -122.36982231663677 47.51773249354906, -122.36982474369438 47.517829204632406, -122.36981779179574 47.517829340954485, -122.36981663315044 47.517829363824696, -122.36979736751863 47.517829744082384, -122.36979693765826 47.517830478586916, -122.36980763942965 47.518162459831714, -122.36973318101644 47.51816579791727, -122.36965350648485 47.518164216233515, -122.369574447995 47.51815733315542, -122.36949677232917 47.51814521544147, -122.36942123285644 47.51812798062045, -122.36933795691519 47.51810205515125, -122.36925954146838 47.51806991812279, -122.36918699196733 47.51803198160356, -122.36912616558742 47.51799232957205, -122.36907176658967 47.51794860138307, -122.36902438671171 47.517901272713665, -122.36898454133275 47.51785085840563, -122.36895266386766 47.51779790686492, -122.36892910105315 47.51774299409573, -122.36891410917697 47.51768671743454, -122.36890785129106 47.517629689052185, -122.36891039543906 47.517572529294604)))",,40481.29562271,818.0745372,10/21/2014 12:00:00 AM +0000,801,Roxhill,Baseball,Grass,No,1,Yes,Roxhill Park,621,Ballfield 01,,,,,,,ATHLFLD-ROXPK-S,0,0
402,"MULTIPOLYGON (((-122.28246881487121 47.548071533379755, -122.28247247562659 47.54858895663111, -122.28239964343547 47.54859136779215, -122.2822903688559 47.548589430538776, -122.28218179394474 47.54858085038004, -122.28207479791455 47.54856569679593, -122.28197024719069 47.548544092496435, -122.2818689883944 47.548516212427565, -122.28177184148615 47.548482282354605, -122.28167959312526 47.548442577033626, -122.28159299029909 47.54839741798638, -122.28151273427405 47.54834717089633, -122.2814394749166 47.548292242647165, -122.28137380543112 47.54823307802764, -122.28137291751507 47.54815949600808, -122.28138549153827 47.54769041546262, -122.28246800217472 47.54769189301198, -122.28246807441667 47.54770027004004, -122.2824685565713 47.54775615227099, -122.28248282283874 47.54775638957773, -122.28248217695968 47.547766225013596, -122.28256880585288 47.54776646169199, -122.2825678599951 47.54787833237673, -122.28248080688094 47.54787861477444, -122.28248125700568 47.54788777503137, -122.28244746563864 47.5478881699083, -122.28244669544124 47.54792735628911, -122.28244543146278 47.54801155851476, -122.28244466070043 47.54806290565822, -122.28244506546248 47.54807153393209, -122.28244706649592 47.54807153360683, -122.28246881487121 47.548071533379755)))",,79677.97630562,1167.81881103,10/21/2014 12:00:00 AM +0000,801,Brighton,Baseball,Grass,Yes,1,Yes,Brighton Playfield,1794,Ballfield 01,,,,,,,ATHLFLD-BGTPF,0,0
402,"MULTIPOLYGON (((-122.28154096638887 47.54769062854168, -122.2815337254875 47.547629762908905, -122.28153652573963 47.54756872960031, -122.2815493323792 47.547508285598006, -122.28157198653462 47.547449180572436, -122.28160420720063 47.54739214758461, -122.28164559472516 47.54733789399428, -122.28169563576748 47.54728709268725, -122.2817537096659 47.54724037373012, -122.2818190961365 47.54719831655619, -122.28189098420697 47.54716144277959, -122.2822973551489 47.54716680672934, -122.28233592361394 47.54717751680568, -122.28237195369516 47.547191712203485, -122.28240476236422 47.547209123819115, -122.28243372765967 47.54722942157847, -122.28243654563326 47.54737558729241, -122.28243663338336 47.547380127340425, -122.28243667539617 47.54738230652889, -122.28243681715566 47.547389648133674, -122.28243684864529 47.547391305689864, -122.28247564638598 47.54739153786736, -122.28247450682478 47.547478538954046, -122.28246672322196 47.54754359541965, -122.28246791211939 47.54768149031806, -122.28246800217472 47.54769189301198, -122.28242848369793 47.547691839142985, -122.28242825649511 47.547691839341105, -122.28154096638887 47.54769062854168)))",,39139.60777303,771.6630157,10/21/2014 12:00:00 AM +0000,801,Brighton,Baseball,Grass,No,3,No,Brighton Playfield,1796,Ballfield 03,,,,,,,ATHLFLD-BGTPF,0,0
