GIS_LENGTH,GIS_AREA,PMAID,the_geom,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,ORIG_FID
327.85225325,6237.15511209,114,POINT (-122.30849123459399 47.56944067743952),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,17
321.136129,6197.01955807,390,POINT (-122.30789666684107 47.600349509910195),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,18
182.82156772,1822.46039217,382,POINT (-122.31416450879583 47.71649703913903),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,19
238.81556481,3452.31043197,450,POINT (-122.36327480720777 47.56132920631473),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,20
357.40648755,7142.27212826,458,POINT (-122.36979006956886 47.53334748473792),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,21
193.97046563,2327.25234758,363,POINT (-122.29599045028493 47.59965307040788),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,22
237.31793924,3400.08325017,371,POINT (-122.28967100397111 47.61100658843449),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,23
297.02489721,5251.71260114,373,POINT (-122.30622656949355 47.62145678527772),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,24
91.40245759,664.82437421,379,POINT (-122.32019430349833 47.64406483849751),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,25
310.62226215,5796.0462668,3102,POINT (-122.31987409652974 47.61619973977426),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,26
128.40549149,938.56669923,357,POINT (-122.30170442277401 47.62291738536952),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,27
306.65397246,5860.51794382,345,POINT (-122.29592866054033 47.60500449208262),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,28
239.737543,3575.09159535,463,POINT (-122.34968266461973 47.539776002462425),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,29
218.95818255,2986.79458342,446,POINT (-122.40745226336345 47.577902501104255),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,30
98.07696004,589.20278316,410,POINT (-122.32191274737961 47.552152816846174),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,31
137.06825695,1159.52956979,456,POINT (-122.38419886940488 47.57846276387798),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,32
248.47816463,3710.69243286,436,POINT (-122.284581864408 47.51938536687105),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,33
