Event,Start time,End time,Building Name/Room Number,Website,Event Description/Agenda,Sponsoring Organization,Event Contact,Event Contact Position/Department,Event Contact Phone,Event Contact Email,Street Address,Latitude,Longitude,Location,Event Info Url,Classification
Open Call for Performance/Live Art,05/15/2016 12:00:00 AM,,doesliveart.wordpress.com,https://doesliveart.wordpress.com/,"This open call is looking for contemporary performance around the themes Body, Risk, and Future; from conversations, one-on-one interactions, durational works, pieces performed to and with the audience, and more. The timing coincides with the Seattle Art Fair in order to amplify the importance of Performance in Contemporary Art.<br /> <br /> The gallery will host a noontime meal each of the three days as a way to gather the artists and audience, nourish them, and network. After the meal will be discussions themed around Performance Art. In the afternoons and evenings there will be a variety of performances programmed.<br /> <br /> SOIL exists as an alternative venue for artists and curators to exhibit, develop, and advance their work. We are committed to exhibiting art of diverse media and content. Morgan Cahn, a current SOIL member, is curating this exhibition and performance series.<br /> <br /> SOIL gallery is the main hub (112 3rd Ave S, Seattle, WA 98104). Works that take place outside the gallery or depart from the gallery will also be considered. SOIL gallery is ADA accessible. ",,Morgan Cahn ,,206-471-4178 ,doesliveart@gmail.com,112 3rd Ave S,47.60113,-122.3298,"(47.60113, -122.3298)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118956842,art
Keys to the Kingdom: Sea Stars and Our Coastal Environment,05/15/2016 10:00:00 AM,05/15/2016 05:00:00 PM,,http://www.nps.gov/klse/index.htm,"Please join the Klondike Gold Rush National Historical Park as we open our new temporary exhibit, Keys to the Kingdom: Sea Stars and Our Coastal Environment. Learn about the amazing sea stars that populate the Pacific coast, the mysterious disease that has been attacking the species, and how you can play a part in the future of sea stars. This exhibit is designed and created by graduate students at the University of Washington&#39;s Museology Program. ",,Klondike Gold Rush National Historical Park ,,,,319 2nd Ave S,47.59938,-122.33197,"(47.59938, -122.33197)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117057798,art
Posing Beauty in African American Culture,05/15/2016 11:00:00 AM,05/15/2016 07:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570476,art
Posing Beauty in African American Culture,05/15/2016 11:00:00 AM,05/15/2016 05:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570348,art
Open Call for Performance/Live Art,05/16/2016 12:00:00 AM,,doesliveart.wordpress.com,https://doesliveart.wordpress.com/,"This open call is looking for contemporary performance around the themes Body, Risk, and Future; from conversations, one-on-one interactions, durational works, pieces performed to and with the audience, and more. The timing coincides with the Seattle Art Fair in order to amplify the importance of Performance in Contemporary Art.<br /> <br /> The gallery will host a noontime meal each of the three days as a way to gather the artists and audience, nourish them, and network. After the meal will be discussions themed around Performance Art. In the afternoons and evenings there will be a variety of performances programmed.<br /> <br /> SOIL exists as an alternative venue for artists and curators to exhibit, develop, and advance their work. We are committed to exhibiting art of diverse media and content. Morgan Cahn, a current SOIL member, is curating this exhibition and performance series.<br /> <br /> SOIL gallery is the main hub (112 3rd Ave S, Seattle, WA 98104). Works that take place outside the gallery or depart from the gallery will also be considered. SOIL gallery is ADA accessible. ",,Morgan Cahn ,,206-471-4178 ,doesliveart@gmail.com,112 3rd Ave S,47.60113,-122.3298,"(47.60113, -122.3298)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118956843,art
Keys to the Kingdom: Sea Stars and Our Coastal Environment,05/16/2016 10:00:00 AM,05/16/2016 05:00:00 PM,,http://www.nps.gov/klse/index.htm,"Please join the Klondike Gold Rush National Historical Park as we open our new temporary exhibit, Keys to the Kingdom: Sea Stars and Our Coastal Environment. Learn about the amazing sea stars that populate the Pacific coast, the mysterious disease that has been attacking the species, and how you can play a part in the future of sea stars. This exhibit is designed and created by graduate students at the University of Washington&#39;s Museology Program. ",,Klondike Gold Rush National Historical Park ,,,,319 2nd Ave S,47.59938,-122.33197,"(47.59938, -122.33197)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117057799,art
Living Small: Ideas for Living in the City,05/20/2016 10:00:00 AM,05/20/2016 06:00:00 PM,,https://www.aiaseattle.org/livingsmall/,"As Seattle grows, how can housing design keep pace with the evolving ways we are living in cities? Is small housing a viable option? Can smaller spaces make for better living? This exhibit by 2015 Emerging Professionals Travel Scholarship Recipient Garrett Reynolds, explores micro-living spaces in dense urban environments in Copenhagen, New York, Stockholm, and Tokyo. ",,Jalayna Walton ,,,,1010 Western Ave,47.6047,-122.33739,"(47.6047, -122.33739)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118692806,art
Posing Beauty in African American Culture,05/16/2016 11:00:00 AM,05/16/2016 07:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570477,art
Posing Beauty in African American Culture,05/16/2016 11:00:00 AM,05/16/2016 05:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570349,art
The Atomic Weight of Love with Author Elizabeth J. Church,05/16/2016 07:00:00 PM,05/16/2016 08:00:00 PM,Events Space ,http://www2.bookstore.washington.edu/_events/events_cal.taf?evmonth=05&evyear=2016&eventid=2016022412524300,"Set in the sun-drenched landscape of Los Alamos, New Mexico during and after WWII&#39;s Manhattan Project, Elizabeth J. Church&#39;s debut novel tells a moving story of woman wrestling with the sacrifices she makes when she leaves her own ambitions behind to follow her husband. From Ph.D. candidate to housewife to a middle-aged women caught up in an eye-opening a relationship with a younger man, Meridian&#39;s journey pulls us into an engaging exploration of family, identity, womanhood, relationships, and the life-defining choices we make. To meet the author and learn about the real men and women of Los Alamos whose lives inspired The Atomic Weight of Love, join us for this reading and signing with Church. ",University Book Store ,Erica Milgate ,,,,4326 University Way NE,47.66024,-122.31278,"(47.66024, -122.31278)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119015333,art
