element_key,latitude,longitude,poi,baseball,tennis,basket,soccer
1001,47.6028623746714,-122.33470308183998,1,0,0,0,0
1002,47.602997366105356,-122.334538261994,1,0,0,0,0
1005,47.60360193281299,-122.335382021038,0,0,0,0,0
1006,47.60372548241921,-122.33517087827902,0,0,0,0,0
1009,47.605009553744495,-122.336669169258,1,0,0,0,0
1010,47.605272584359895,-122.33658563664301,1,0,0,0,0
1013,47.606378252134704,-122.337960165173,1,0,0,0,0
1014,47.606569292235605,-122.337810819965,1,0,0,0,0
1017,47.610496778598005,-122.34183100356,1,0,0,0,0
1018,47.610755608895595,-122.341899260172,1,0,0,0,0
1021,47.6121366367352,-122.344621807416,1,0,0,0,0
1022,47.612180735804394,-122.344296008114,1,0,0,0,0
1025,47.6143704550833,-122.348405346484,1,0,0,0,0
1026,47.61453873368529,-122.348289590838,1,0,0,0,0
1029,47.616498174014595,-122.35201029812201,0,0,0,0,0
1030,47.616673325130606,-122.351875478409,0,0,0,0,0
1033,47.6173252883813,-122.353400009213,0,0,0,0,0
1034,47.617549556426,-122.353379319452,0,0,0,0,0
1037,47.6214781356596,-122.355530715539,0,0,0,0,0
1041,47.6223033078158,-122.355523915113,1,0,0,0,0
1045,47.624027794482345,-122.355513871049,0,0,0,0,0
1046,47.62394224367971,-122.35529964796049,0,0,0,0,0
1213,47.6013507900301,-122.334301495055,1,0,0,0,0
1214,47.60131760050349,-122.33405840933399,1,0,0,0,0
1217,47.600366919093105,-122.334305227444,1,0,0,0,0
1218,47.600582354069005,-122.334061152736,1,0,0,0,0
1222,47.59581794982329,-122.334040471448,1,0,0,0,0
1229,47.6119812804072,-122.31947663310801,1,0,0,0,0
1233,47.6146560758954,-122.319573568428,1,0,0,0,0
1234,47.6147098481764,-122.319331156984,1,0,0,0,0
1277,47.6216148986917,-122.35812835204253,0,0,0,0,0
1278,47.62156913897321,-122.357950303487,0,0,0,0,0
1281,47.6253460766185,-122.358108468415,1,0,0,0,0
1433,47.66395503572604,-122.31644479184965,0,0,0,0,0
1577,47.609724638050096,-122.316901328673,1,0,0,0,0
1578,47.6098805504267,-122.31665800520001,1,0,0,0,0
1589,47.615832154867896,-122.316980842831,1,0,0,0,0
1590,47.615888593208894,-122.316746571467,1,0,0,0,0
