station_closest,timestamp,air_temp,road_temp
5,2016-01-01 08:00:00,2.03,-2.63
5,2016-01-01 09:00:00,1.99,-2.27
5,2016-01-01 10:00:00,2.08,-0.89
5,2016-01-01 11:00:00,2.28,2.44
5,2016-01-01 12:00:00,2.57,4.87
5,2016-01-01 13:00:00,3.72,6.73
5,2016-01-01 14:00:00,4.06,7.32
5,2016-01-01 15:00:00,4.14,6.04
5,2016-01-01 16:00:00,4.15,5.43
5,2016-01-01 17:00:00,4.08,4.6
5,2016-01-01 18:00:00,3.99,4.12
5,2016-01-01 19:00:00,3.85,3.2
5,2016-01-02 08:00:00,1.65,-2.9
5,2016-01-02 09:00:00,1.58,-2.63
5,2016-01-02 10:00:00,1.63,-1.1
5,2016-01-02 11:00:00,1.89,2.37
5,2016-01-02 12:00:00,2.1,4.12
5,2016-01-02 13:00:00,3.11,6.01
5,2016-01-02 14:00:00,3.54,6.82
5,2016-01-02 15:00:00,3.63,5.99
5,2016-01-02 16:00:00,3.72,5.4
5,2016-01-02 17:00:00,3.69,4.71
5,2016-01-02 18:00:00,3.56,4.08
5,2016-01-02 19:00:00,3.42,3.34
5,2016-01-03 08:00:00,2.62,-0.96
5,2016-01-03 09:00:00,2.68,-0.36
5,2016-01-03 10:00:00,2.88,1.11
5,2016-01-03 11:00:00,3.31,2.73
5,2016-01-03 12:00:00,3.6,3.79
5,2016-01-03 13:00:00,3.81,3.79
5,2016-01-03 14:00:00,3.88,3.72
5,2016-01-03 15:00:00,3.92,3.65
5,2016-01-03 16:00:00,3.9,3.31
5,2016-01-03 17:00:00,3.85,3.09
5,2016-01-03 18:00:00,3.85,3.0
5,2016-01-03 19:00:00,3.9,3.0
5,2016-01-04 08:00:00,3.85,4.05
5,2016-01-04 09:00:00,3.87,4.24
5,2016-01-04 10:00:00,3.94,4.57
5,2016-01-04 11:00:00,4.05,4.46
5,2016-01-04 12:00:00,4.05,4.42
5,2016-01-04 13:00:00,4.1,4.48
5,2016-01-04 14:00:00,4.17,4.6
5,2016-01-04 15:00:00,4.24,4.51
5,2016-01-04 16:00:00,4.26,4.59
5,2016-01-04 17:00:00,4.24,4.6
5,2016-01-04 18:00:00,4.19,4.35
