NAME,the_geom,ADDRESS,DIVISION,SOCCER,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2
Decatur EL,POINT (-122.28435384474307 47.68561364506833),7711 43rd Ave NE,SSD,2,Y,Grass,No,,,,,
East Queen Anne Playground,POINT (-122.35349681556443 47.636140546290584),1912 Warren Ave N,Central,1,N,Grass,No,329,,,,
Pinehurst Playground,POINT (-122.31463878544118 47.71625503063297),12029 14th Ave NE,North,1,N,Grass,No,382,,,,
Ravenna-Eckstein Park,POINT (-122.30540806725641 47.67716865127399),,North,1,N,Grass,No,488,,,,
Green Lake Park,POINT (-122.32766609679587 47.67947645167757),7201 E Green Lake Way,North,1,Y,Grass,No,307,,,,
Colman Playground,POINT (-122.30177967026886 47.58807281670471),1470 23rd Ave S,Central,1,Y,Grass,No,406,,,,
Jefferson Park,POINT (-122.31183873066477 47.56563595581315),3801 Beacon Ave S,South,1,Y,Synthetic,Yes,114,,,,
Queen Anne Bowl Playfield,POINT (-122.35952676016367 47.64548704132414),2806 3rd Ave W,Central,1,Y,Synthetic,No,3984,,,,
Roosevelt HS,POINT (-122.31445351341694 47.67724475813883),1410 NE 66th St,SSD,1,Y,Synthetic,No,,,,,
Brighton Playfield,POINT (-122.28175685726475 47.54804160622209),39th Ave W & S Juneau St,South,1,Y,Grass,Yes,402,,,,
Ingraham HS,POINT (-122.33754020334781 47.723876247090864),1819 N 135th St,SSD,2,Y,Synthetic,Yes,,,,,
Olympic Hills EL,POINT (-122.30579668813397 47.72433852593342),13018 20th Ave NE,SSD,1,Y,Grass,No,,,,,
Van Asselt EL,POINT (-122.29034541971906 47.530013025589476),7201 Beacon Ave South,SSD,1,N,Synthetic,No,,,,,
Lowell EL,POINT (-122.31862700497733 47.625885476767046),1058 E Mercer St,SSD,1,Y,Grass,No,,,,,
Eckstein MS,POINT (-122.2943874348575 47.680874206091644),3003 NE 75th St,SSD,3,N,Synthetic,No,,,,,
Franklin HS,POINT (-122.29541428116494 47.576761033398434),3013 S Mt Baker Blvd,SSD,1,Y,Synthetic,No,,,,,
Roxhill Park,POINT (-122.36936549790197 47.51803653761556),9244 29th Ave SW,South,1,Y,Grass,No,464,,,,
West Woodland EL,POINT (-122.3633302833834 47.66967282327353),5634 5th Ave NE,SSD,1,Y,Grass,,,,,,
University Playground,POINT (-122.31888450112113 47.6642661879581),NE 50th St & 9th Ave,North,1,Y,Grass,No,435,,,,
Northacres Park,POINT (-122.32573176144165 47.720523014732414),12530 3rd Ave NE,North,1,Y,Grass,No,361,,,,
Ballard Playground,POINT (-122.390988989834 47.67278239634817),6020 28th Ave NW,North,1,Y,Grass,Yes,497,,,,
Ravenna Park,POINT (-122.30137878055585 47.66874892329171),20th Ave NE & NE 58th St,North,1,Y,Grass,No,391,,,,
Bay View Playground,POINT (-122.387184034556 47.643301678510795),2614 24th Ave W,Central,1,Y,Grass,No,303,,,,
