element_key,parking_category,total_nopark,total_zones,parking_spaces,total_spaces
32018,Paid Parking,8,1,6,15
1042,No Parking Allowed,5,1,0,6
48129,Paid Parking,6,1,4,11
47962,Paid Parking,8,2,7,17
47966,Paid Parking,5,1,4,10
8617,Paid Parking,7,2,4,13
27274,No Parking Allowed,4,0,0,4
34298,No Parking Allowed,1,0,0,1
25041,Paid Parking,12,1,8,21
24569,Paid Parking,10,3,3,16
24570,Restricted Parking Zone,9,2,11,22
6174,Paid Parking,3,2,0,5
68921,Paid Parking,8,2,3,13
31310,Paid Parking,6,0,10,16
1218,Paid Parking,8,2,7,17
1002,Paid Parking,8,0,9,17
75865,Paid Parking,7,0,10,17
76722,Paid Parking,7,1,7,15
5754,Unrestricted Parking,0,0,12,12
56189,Unrestricted Parking,0,0,14,14
25978,Unrestricted Parking,0,0,6,6
58077,No Parking Allowed,16,0,0,16
52102,Unrestricted Parking,0,0,19,19
29710,Unrestricted Parking,0,0,25,25
47437,Unrestricted Parking,0,0,12,12
76361,Unrestricted Parking,0,0,29,29
8401,Paid Parking,7,1,12,20
34845,Paid Parking,6,1,2,9
8394,Paid Parking,16,1,1,18
72473,Unrestricted Parking,0,0,11,11
6710,Unrestricted Parking,0,0,25,25
1806,Unrestricted Parking,0,0,3,3
54697,No Parking Allowed,1,0,0,1
32277,Unrestricted Parking,0,0,15,15
47969,Paid Parking,11,2,11,24
34838,Paid Parking,5,2,3,10
78829,Unrestricted Parking,0,0,9,9
31401,Unrestricted Parking,0,0,4,4
47970,Paid Parking,10,0,4,14
89721,Unrestricted Parking,0,0,9,9
54985,Paid Parking,5,0,9,14
9361,Paid Parking,4,2,0,6
69277,No Parking Allowed,6,0,0,6
18805,Unrestricted Parking,0,0,9,9
64958,Unrestricted Parking,0,0,20,20
13150,Unrestricted Parking,0,0,16,16
40349,Unrestricted Parking,0,0,22,22
24266,Paid Parking,7,1,11,19
76045,Paid Parking,5,0,6,11
75169,Paid Parking,11,2,12,25
3229,Unrestricted Parking,0,0,6,6
79365,Paid Parking,6,0,5,11
84641,Paid Parking,4,0,7,11
12766,No Parking Allowed,1,0,0,1
56074,Paid Parking,7,1,6,14
27246,Unrestricted Parking,0,0,10,10
1433,Paid Parking,15,0,26,41
11017,No Parking Allowed,1,0,0,1
65798,No Parking Allowed,1,0,0,1
52518,No Parking Allowed,1,0,0,1
75173,Paid Parking,10,2,3,15
30969,Paid Parking,8,2,3,13
5582,Unrestricted Parking,0,0,26,26
69282,Restricted Parking Zone,9,1,3,13
2781,Paid Parking,5,1,8,14
10802,No Parking Allowed,10,0,0,10
6182,No Parking Allowed,4,0,0,4
58173,No Parking Allowed,1,0,0,1
48449,Paid Parking,6,1,6,13
125529,Unrestricted Parking,0,0,19,19
53141,No Parking Allowed,12,0,0,12
11113,No Parking Allowed,1,0,0,1
94421,Paid Parking,0,0,7,7
79366,No Parking Allowed,3,1,0,4
70366,Unrestricted Parking,0,0,12,12
10202,Paid Parking,1,0,22,23
18541,Unrestricted Parking,0,0,4,4
69305,Paid Parking,15,2,17,34
32490,Paid Parking,9,0,9,18
52517,No Parking Allowed,1,0,0,1
19177,Unrestricted Parking,0,0,10,10
11770,Paid Parking,7,1,9,17
15101,Unrestricted Parking,0,0,12,12
50082,Unrestricted Parking,0,0,9,9
20754,Unrestricted Parking,0,0,3,3
5594,Unrestricted Parking,0,0,26,26
24269,No Parking Allowed,4,6,0,10
23582,Unrestricted Parking,0,0,5,5
54762,No Parking Allowed,3,0,0,3
79078,Unrestricted Parking,0,0,11,11
89405,Unrestricted Parking,0,0,19,19
12870,No Parking Allowed,2,0,0,2
60689,Unrestricted Parking,0,0,11,11
58189,Paid Parking,4,1,0,5
35418,No Parking Allowed,7,0,0,7
1013,Paid Parking,6,1,4,11
9113,Paid Parking,1,1,2,4
14398,Paid Parking,5,1,5,11
53761,Unrestricted Parking,0,0,18,18
14397,Paid Parking,4,0,3,7
56325,No Parking Allowed,2,0,0,2
35729,Paid Parking,14,2,2,18
66830,Unrestricted Parking,0,0,12,12
6166,No Parking Allowed,7,3,0,10
70733,No Parking Allowed,4,1,0,5
11766,Paid Parking,7,0,4,11
39353,Unrestricted Parking,0,0,27,27
13318,No Parking Allowed,2,0,0,2
11138,Paid Parking,2,0,21,23
120805,No Parking Allowed,1,0,0,1
11137,Paid Parking,5,1,7,13
6997,Unrestricted Parking,0,0,11,11
55410,No Parking Allowed,9,2,0,11
10282,Paid Parking,5,0,6,11
9693,No Parking Allowed,4,2,0,6
53806,Paid Parking,8,2,6,16
60217,Unrestricted Parking,1,0,5,6
80210,No Parking Allowed,2,0,0,2
80182,No Parking Allowed,2,0,0,2
63126,Paid Parking,24,1,29,54
76986,Carpool Parking,8,0,8,16
76057,No Parking Allowed,4,0,0,4
51489,Paid Parking,10,3,9,22
11785,Restricted Parking Zone,7,1,8,16
32542,Paid Parking,1,1,1,3
13446,No Parking Allowed,6,5,0,11
122420,No Parking Allowed,1,0,0,1
81481,Paid Parking,3,0,19,22
64878,No Parking Allowed,2,0,0,2
36310,Paid Parking,7,0,5,12
89249,No Parking Allowed,1,0,0,1
54974,No Parking Allowed,5,1,0,6
8834,Paid Parking,25,0,4,29
12686,No Parking Allowed,3,0,0,3
80637,No Parking Allowed,3,0,0,3
74037,No Parking Allowed,1,0,0,1
121934,No Parking Allowed,1,0,0,1
80178,No Parking Allowed,2,1,0,3
8305,Paid Parking,7,1,7,15
11134,Paid Parking,8,1,3,12
80209,No Parking Allowed,2,0,0,2
34829,No Parking Allowed,1,0,0,1
59506,Time Limited Parking,1,1,8,10
57510,No Parking Allowed,3,1,0,4
63125,Paid Parking,18,0,33,51
54073,Paid Parking,5,0,10,15
74021,No Parking Allowed,3,0,0,3
48126,Paid Parking,5,3,0,8
76058,Paid Parking,6,1,6,13
80638,No Parking Allowed,4,0,0,4
32178,No Parking Allowed,3,0,0,3
