the_geom,COORDINATO,ADDRESS,NAME,PHONE,OFFICIAL_N,INDOOR_OUT,FULL_NAME,POINT_X,POINT_Y,GIS_EDT_DT,LATITUDE,LONGITUDE,PMAID,LOCID,AMWO_ID,RES1,RES2
POINT (-122.35795026785668 47.63626286559663),Janet Wilson,1920 1st Ave West,Queen Anne Pool,386-4282,Queen Anne Pool,Indoor,Queen Anne Pool,1264556.37500273,235812.48453707,11/30/1899 12:00:00 AM +0000,47.63626287,-122.35795027,337,,,,
POINT (-122.30240182803597 47.606887600677034),Kristen Schuler,500 23rd Ave,Evers Pool,684-4766,Evers Memorial Pool,Indoor,Medgar Evers Pool,1278044.37492956,224832.99993439,11/30/1899 12:00:00 AM +0000,47.6068876,-122.30240183,353,,,,
POINT (-122.27033751275907 47.524766415040474),Donna Sammons,8825 Rainier Ave S,Rainier Beach Pool,386-1944,Rainier Beach Pool,Indoor,Rainier Beach Pool,1285393.37499531,194733.95317723,11/30/1899 12:00:00 AM +0000,47.52476642,-122.27033751,434,,,,
POINT (-122.36916224498255 47.52800132362959),Nancy Eisner,2801 SW Thistle St,Southwest Pool,233-7295,Southwest Pool,Indoor,Southwest Pool,1261004.62488839,196385.28123939,11/30/1899 12:00:00 AM +0000,47.52800132,-122.36916224,3996,,,,
POINT (-122.376161943172 47.677540264436196),Angela Eddy,1471 NW 67th Street,Ballard Pool,684-4094,Ballard Pool,Indoor,Captain William R. Ballard Pool,1260369.12517513,250955.51560265,11/30/1899 12:00:00 AM +0000,47.67754026,-122.37616194,498,,,,
POINT (-122.33465629789156 47.72580143140825),Peter Brodkin,13401 Meridian Ave N,Madison Pool,684-4979,Helene Madison Memorial Pool,Indoor,Helene Madison Pool,1270935.37503997,268353.99983448,11/30/1899 12:00:00 AM +0000,47.72580143,-122.3346563,285,,,,
POINT (-122.40097906178957 47.53045331604131),Steve Vela,8603 Fauntleroy Wy S,Colman Pool,684-7494,Colman Pool,Outdoor,Laurence Colman Pool,1253163.87482189,197437.98451456,11/30/1899 12:00:00 AM +0000,47.53045332,-122.40097906,460,,,,
POINT (-122.3284375582711 47.68018276418633),Barb Marsh,7201 E GreenLk Dr N,Evans Pool,684-0881,Evans Pool,Indoor,Evans Pool,1272142.37492256,251687.18736765,11/30/1899 12:00:00 AM +0000,47.68018276,-122.32843756,307,,,,
POINT (-122.29162384952146 47.70534162689962),Scott Ferry,10515 35th Ave NE,Meadowbrook Pool,684-4989,Meadowbrook Pool,Indoor,Meadowbrook Pool,1281383.1251418,260688.6404933,11/30/1899 12:00:00 AM +0000,47.70534163,-122.29162385,352,,,,
POINT (-122.39887010304064 47.642900252830444),Bill Dougherty,2535 32nd Ave West,Mounger Pool,684-4078,"Lowery C. ""Pop"" Mounger Pool",Outdoor,"Lowery C. ""Pop"" Mounger Pool",1254519.12506413,238435.60954015,11/30/1899 12:00:00 AM +0000,47.64290025,-122.3988701,4473,,,,
