PMAID,the_geom,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,ORIG_FID
322,POINT (-122.35535254024099 47.63126282170146),7008.01776328,353.10740413,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,6
322,POINT (-122.35505634945147 47.63158818432751),5919.70999578,334.916999,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,7
488,POINT (-122.30446228709225 47.67656332710144),1440.81266702,151.84856352,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,12
292,POINT (-122.34340864856209 47.669367127426725),6562.12958265,350.17501598,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,110
292,POINT (-122.3431911505528 47.669035558387705),6527.88301504,349.4494576,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,114
292,POINT (-122.3434106737857 47.669036237120686),6516.33234983,349.23220533,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,115
292,POINT (-122.3437238534377 47.66532041900472),6501.2623988,350.88852826,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,121
307,POINT (-122.3281595339251 47.68154877700408),6284.25706988,346.95545054,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,125
376,POINT (-122.31046412975198 47.64137584222565),6275.29492555,345.04460084,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,138
398,POINT (-122.25267204219327 47.68134928799439),6370.31887229,453.16133651,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,155
398,POINT (-122.25216449556366 47.68135191355719),6335.47966593,348.0000059,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,156
288,POINT (-122.35010493684312 47.72352024201299),6442.35099196,349.06020988,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,161
242,POINT (-122.37012986428029 47.66695716755015),6477.61303869,349.60856664,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,167
426,POINT (-122.29679147263583 47.58531566066653),6654.10384388,351.45313829,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,184
426,POINT (-122.29701225407855 47.58565240872685),6644.65229914,351.29628124,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,187
419,POINT (-122.2886303169379 47.579561679248734),6360.97877648,345.46291311,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,191
353,POINT (-122.30020593022972 47.60773983443006),6342.19217306,337.02814621,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,197
400,POINT (-122.31552578678314 47.586765232892986),6284.43079426,344.93044041,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,200
439,POINT (-122.26049484284687 47.51493928739743),6176.82411477,341.69041184,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,210
422,POINT (-122.27388216022963 47.52395740808581),6708.05344059,353.47588064,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,212
404,POINT (-122.31592196809233 47.553145918391685),6079.34257505,342.96329419,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,227
4453,POINT (-122.39158089560314 47.53662235785636),6389.79257768,346.52106474,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,228
4453,POINT (-122.39137591945914 47.53658004995081),6322.4053327,345.54412658,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,229
423,POINT (-122.2868326497809 47.56244939482995),6513.23685961,348.70276101,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,239
446,POINT (-122.40779351731848 47.579248741224134),6291.77685588,345.53196742,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,246
292,POINT (-122.34318392392146 47.66971628812034),6577.84539389,350.18267418,04/01/2016 12:00:00 AM +0000,0,,Tennis,,,,,,,,,255
292,POINT (-122.34329304605689 47.66532081301278),6526.73728215,351.30689058,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,119
307,POINT (-122.32857161181005 47.68153224839518),6183.31384565,346.03858201,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,124
352,POINT (-122.29548251157507 47.70633525855747),6314.84632027,345.97322063,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,135
376,POINT (-122.31025237646972 47.6413755764854),6295.18905198,345.37505258,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,137
380,POINT (-122.32550037666631 47.64293274945737),6431.76903689,351.63895551,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,141
391,POINT (-122.30280860142982 47.669445600701245),6509.93606769,350.78929692,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,144
398,POINT (-122.25174054551927 47.68135224313534),6408.11704841,349.08050056,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,146
391,POINT (-122.30302459106242 47.66944559950509),6481.65763632,350.32595228,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,159
373,POINT (-122.30708798519046 47.620764738957654),6552.58260077,350.54240543,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,179
4242,POINT (-122.29601678611432 47.59001892363658),6610.58792333,350.22696146,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,189
