ADDRESS,NAME,the_geom,DIVISION,TRACK,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2
3013 S Mt Baker Blvd,Franklin HS,POINT (-122.29541428116494 47.576761033398434),SSD,1,Y,Synthetic,No,,,,,
11051 34th Ave NE,Jane Addams,POINT (-122.29345154595929 47.70896175799827),SSD,1,Y,Synthetic,Yes,,,,,
550 Phiney Ave N,Woodland Park - Field 7,POINT (-122.3416118198449 47.66970572000668),North,1,N,Synthetic,Yes,292,,,,
5511 15th Ave S,Cleveland Playfield,POINT (-122.31558010418237 47.5520865432037),South,1,N,Grass,No,404,,,,
4432 35th Ave Sw,West Seattle Stadium,POINT (-122.37415252022458 47.56307498209784),South,1,N,Grass,Yes,472,,,,
400 23rd Ave,Garfield HS,POINT (-122.3005338292536 47.60509440838338),SSD,1,N,Synthetic,No,,,,,
1618 E Calhoun St,Montlake Playfield,POINT (-122.30925315518445 47.642061006199505),Central,1,Y,Grass,No,376,,,,
8815 Seward Park Ave S,Rainier Beach HS,POINT (-122.26820901887295 47.52542071596304),SSD,1,Y,Synthetic,Yes,,,,,
2806 3rd Ave W,Queen Anne Bowl Playfield,POINT (-122.35952676016367 47.64548704132414),Central,1,Y,Synthetic,No,3984,,,,
8402 30th Ave SW,Denny MS / Sealth HS,POINT (-122.3676623700913 47.52645850812632),SSD,1,Y,Synthetic and Grass,Yes,,,,,
1810 NW 65th St,Salmon Bay,POINT (-122.38052709247597 47.67818334871051),SSD,1,N,Synthetic,No,,,,,
1418 NW 65th St,Ballard HS,POINT (-122.37318893945535 47.67694878924146),SSD,1,Y,Synthetic,No,,,,,
1819 N 135th St,Ingraham HS,POINT (-122.33754020334781 47.723876247090864),SSD,1,Y,Synthetic,Yes,,,,,
550 Phiney Ave N,Woodland Park,POINT (-122.3406189105095 47.6676728582883),North,1,N,Synthetic and Grass,Yes,292,,,,
9201 15th Ave NW,Whitman MS,POINT (-122.37997886315077 47.697451044636274),SSD,1,N,Synthetic,No,,,,,
10750 30th NE,Nathan Hale Stadium,POINT (-122.2921471484626 47.70784683575375),SSD,1,Y,Synthetic,Yes,,,,,
